,0,1,2,3,4,5,6,7,,Some boltzmann math on row 7
0,FOLDER NAME,COMPOSITION,NO. ATOMS,TOTAL ENERGY,ENERGY / ATOM,CHECK_CONV RESULT,FLAGS?,Probability,energy pop,
1,14\Ni14_1007\RUN,Li20 Mn2 Co4 Ni14 O40,80,-414.955567,-5.186944587,TRUE,3rd,0.9999230265,-5.186545329,
2,14\Ni14_1011\RUN,Li20 Mn2 Co4 Ni14 O40,80,-417.8393392,-5.22299174,TRUE,,0.9987598422,-5.216514406,
3,14\Ni14_1013\RUN,Li20 Mn2 Co4 Ni14 O40,80,-416.8829466,-5.211036833,TRUE,,0.999145458,-5.206583783,
4,14\Ni14_1014\RUN,Li20 Mn2 Co4 Ni14 O40,80,-416.4101793,-5.205127241,TRUE,,0.9993361319,-5.201671723,
5,14\Ni14_1017\RUN,Li20 Mn2 Co4 Ni14 O40,80,-417.1509807,-5.214387259,TRUE,,0.9990373721,-5.209367744,
6,14\Ni14_1018\RUN,Li20 Mn2 Co4 Ni14 O40,80,-415.4032553,-5.192540691,TRUE,,0.9997423603,-5.191202886,
7,14\Ni14_1020\RUN,Li20 Mn2 Co4 Ni14 O40,80,-416.4204305,-5.205255381,TRUE,,0.9993319971,-5.201778255,
8,14\Ni14_1279\RUN,Li20 Mn2 Co4 Ni14 O40,80,-415.475636,-5.19344545,TRUE,,0.9997131539,-5.19195573,
9,14\Ni14_1407\RUN,Li20 Mn2 Co4 Ni14 O40,80,-416.2332057,-5.202915072,TRUE,,0.9994075173,-5.199832434,
10,14\Ni14_1471\RUN,Li20 Mn2 Co4 Ni14 O40,80,-417.7300176,-5.22162522,TRUE,,0.9988039129,-5.215379701,
11,14\Ni14_1503\RUN,Li20 Mn2 Co4 Ni14 O40,80,-416.0480714,-5.200600892,TRUE,,0.9994821999,-5.197908021,
12,14\Ni14_1519\RUN,Li20 Mn2 Co4 Ni14 O40,80,-417.1948429,-5.214935536,TRUE,,0.9990196856,-5.20982326,
13,14\Ni14_1523\RUN,Li20 Mn2 Co4 Ni14 O40,80,-414.7648521,-5.184560652,TRUE,Lowest,1,-5.184560652,
14,14\Ni14_1525\RUN,Li20 Mn2 Co4 Ni14 O40,80,-415.9164193,-5.198955242,TRUE,,0.9995353113,-5.196539346,
15,14\Ni14_1526\RUN,Li20 Mn2 Co4 Ni14 O40,80,-415.8611592,-5.198264489,TRUE,,0.9995576054,-5.195964805,
16,14\Ni14_1529\RUN,Li20 Mn2 Co4 Ni14 O40,80,-416.1495679,-5.201869599,TRUE,,0.9994412558,-5.198963085,
17,14\Ni14_1530\RUN,Li20 Mn2 Co4 Ni14 O40,80,-415.9899976,-5.19987497,TRUE,,0.9995056278,-5.197304297,
18,14\Ni14_1532\RUN,Li20 Mn2 Co4 Ni14 O40,80,-417.2058994,-5.215073743,TRUE,,0.9990152273,-5.209938081,
19,14\Ni14_1663\RUN,Li20 Mn2 Co4 Ni14 O40,80,-416.515004,-5.20643755,TRUE,,0.9992938515,-5.202761031,
20,14\Ni14_1727\RUN,Li20 Mn2 Co4 Ni14 O40,80,-415.9852287,-5.199815359,TRUE,,0.9995075517,-5.197254719,
21,14\Ni14_1759\RUN,Li20 Mn2 Co4 Ni14 O40,80,-415.4422759,-5.193028449,TRUE,,0.9997266149,-5.191608752,
22,14\Ni14_1775\RUN,Li20 Mn2 Co4 Ni14 O40,80,-417.7986465,-5.222483082,TRUE,,0.9987762464,-5.216092049,
23,14\Ni14_1779\RUN,Li20 Mn2 Co4 Ni14 O40,80,-416.5045852,-5.206307315,TRUE,,0.9992980537,-5.202652767,
24,14\Ni14_1781\RUN,Li20 Mn2 Co4 Ni14 O40,80,-416.1962962,-5.202453703,TRUE,,0.999422406,-5.199448797,
