,0,1,2,3,4,5,6
0,FOLDER NAME,COMPOSITION,NO. ATOMS,TOTAL ENERGY,ENERGY / ATOM,CHECK_CONV RESULT,FLAGS?
1,sup121Co4Mnbulksub\RUN,Li12 Mn1 Co11 O24,48,-266.6736296,-5.555700616,TRUE,
2,sup121Co4Nibulksub\RUN,Li12 Co11 Ni1 O24,48,-261.5058442,-5.448038421,TRUE,
3,sup121Mn4Cobulksub\RUN,Li12 Mn11 Co1 O24,48,-303.0391564,-6.313315758,TRUE,
4,sup121Mn4Nibulksub\RUN,Li12 Mn11 Ni1 O24,48,-299.3370688,-6.236188934,TRUE,
5,sup121Ni4Cobulksub\RUN,Li12 Co1 Ni11 O24,48,-235.021649,-4.896284355,TRUE,
6,sup121Ni4Mnbulksub\RUN,Li12 Mn1 Ni11 O24,48,-239.1453823,-4.982195464,TRUE,
7,sup221Co4Mnsurfsub\RUN,Li24 Mn2 Co22 O48,96,-532.6323039,-5.548253166,TRUE,
8,sup221Co4Nisurfsub\RUN,Li24 Co22 Ni2 O48,96,-521.6254493,-5.43359843,TRUE,
9,sup221Mn4Cosurfsub\RUN,Li24 Mn22 Co2 O48,96,-596.2689793,-6.211135201,TRUE,
10,sup221Mn4Nisurfsub\RUN,Li24 Mn22 Ni2 O48,96,-600.4136508,-6.254308863,TRUE,
11,sup221Ni4Cosurfsub\RUN,Li24 Co2 Ni22 O48,96,-469.6972453,-4.892679639,TRUE,
12,sup221Ni4Mnsurfsub\RUN,Li24 Mn2 Ni22 O48,96,-476.8559234,-4.967249202,TRUE,
,,,,,,,
Mn prefs,In full Co system,0.00744745,7.447450312,,,,
,In full Ni system,0.014946261,14.94626146,,,,
,In full Mn system,by definition,0,,,,
Co Prefs,In full Co system,by definition,0,,,,
,In full Ni system,0.003604716,3.604716042,,,,
,In full Mn system,0.00744745,7.447450312,,,,
Ni Prefs,In full Co system,0.014439991,14.43999094,,,,
,In full Ni system,by definition,0,,,,
,In full Mn system,-0.018119929,-18.11992896,,,,
